#chainfmt afss
#             p0             p1             p2             p3             p4             p5             p6             p7
        1.19695    4.37833e-11      0.0372581      0.0620362       0.111525        3.64887        1.17574        6.45589
        1.18816    4.36067e-11      0.0295515      0.0723793       0.117104        4.03439        1.32209        6.54443
        1.19719    4.40953e-11      0.0192095      0.0705132       0.115606        4.20453        1.41071        6.64952
        1.20262    4.41088e-11      0.0264027      0.0799666      0.0999108        4.79912       0.989621        7.13837
        1.19016    4.41475e-11      0.0184766      0.0860879       0.103687        4.69887        1.26311        6.80442
        1.19314    4.39024e-11      0.0275555       0.080001      0.0957124        4.48657       0.718014        6.52822
        1.19051    4.38396e-11      0.0353526      0.0783313      0.0930834         4.0636       0.906401        5.97485
        1.18854    4.40449e-11      0.0208029      0.0821535      0.0886227        4.88274       0.376212         6.5159
        1.19371    4.38603e-11      0.0427882      0.0765127      0.0934634        3.38688       0.713867        6.09891
        1.18786    4.37877e-11      0.0191207      0.0788576      0.0929061        4.21508       0.532334        6.51922
        1.19561    4.40192e-11      0.0255037       0.076458      0.0922629        3.89478       0.583553         6.2325
        1.19557    4.39788e-11      0.0151963      0.0795907       0.100479        3.50452       0.693339        6.55388
         1.1965    4.40839e-11      0.0118854      0.0743205       0.100742        3.57022        0.55847        6.86604
        1.19465    4.42396e-11     0.00238019      0.0806658      0.0972976        3.83731       0.692146        7.48912
        1.19234    4.39713e-11     0.00527447      0.0842459      0.0922129        4.69427       0.748833         7.1202
        1.20596    4.42976e-11       0.019462      0.0838861      0.0956506        4.01248       0.623496        6.32365
        1.19796    4.36945e-11      0.0346403      0.0739051      0.0989543        3.58233       0.791877        7.01273
        1.19419    4.36138e-11      0.0285966      0.0736833      0.0984572        3.41929       0.598472        7.02595
        1.19539    4.36041e-11      0.0337797      0.0637526       0.100464        3.23876       0.749856         7.5046
        1.19027    4.39558e-11      0.0375528      0.0674323      0.0976973        3.59422       0.888687        7.97631
        1.18908    4.38807e-11      0.0066734      0.0773174       0.112777        3.97256        1.22341        7.70544
        1.19126    4.39745e-11      0.0282272      0.0700684       0.106998        3.87105       0.887619        7.95819
         1.1887    4.38332e-11      0.0117062      0.0718648       0.112431        3.89061        1.10904        7.37539
        1.18916    4.36609e-11      0.0115095      0.0755319       0.111796        3.91885       0.814661        7.33575
        1.17485    4.36249e-11    0.000274778      0.0749761      0.0990957        4.00163       0.685471        7.85781
